STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,Country,INDICATOR,Indicator,MEASURE,Measure,INEQUALITY,Inequality,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,AUS,Australia,WL_TNOW,Time devoted to leisure and personal care,L,Value,TOT,,14.36,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,AUT,Austria,WL_TNOW,Time devoted to leisure and personal care,L,Value,TOT,,14.51,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,BEL,Belgium,WL_TNOW,Time devoted to leisure and personal care,L,Value,TOT,,15.52,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,CAN,Canada,WL_TNOW,Time devoted to leisure and personal care,L,Value,TOT,,14.57,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,FIN,Finland,WL_TNOW,Time devoted to leisure and personal care,L,Value,TOT,,15.17,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,FRA,France,WL_TNOW,Time devoted to leisure and personal care,L,Value,TOT,,16.2,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,DEU,Germany,WL_TNOW,Time devoted to leisure and personal care,L,Value,TOT,,15.62,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,GRC,Greece,WL_TNOW,Time devoted to leisure and personal care,L,Value,TOT,,15.03,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,HUN,Hungary,WL_TNOW,Time devoted to leisure and personal care,L,Value,TOT,,15.08,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,IRL,Ireland,WL_TNOW,Time devoted to leisure and personal care,L,Value,TOT,,14.54,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ITA,Italy,WL_TNOW,Time devoted to leisure and personal care,L,Value,TOT,,16.47,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,JPN,Japan,WL_TNOW,Time devoted to leisure and personal care,L,Value,TOT,,14.1,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,KOR,Korea,WL_TNOW,Time devoted to leisure and personal care,L,Value,TOT,,14.83,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,NLD,Netherlands,WL_TNOW,Time devoted to leisure and personal care,L,Value,TOT,,15.45,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,NZL,New Zealand,WL_TNOW,Time devoted to leisure and personal care,L,Value,TOT,,14.87,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,NOR,Norway,WL_TNOW,Time devoted to leisure and personal care,L,Value,TOT,,15.67,,A,,HOUR,Hours,0,Units,,
