
"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.54132078269543","7.647867759548","7.62677447776061","7.49358867299407","7.2522987874551","7.13429471353289","7.07750228491785","7.07614939833623","7.091761521048","7.05708058623273","6.95462694555748","6.85636282418583","6.74612967598697","6.55806669184623","6.39447896166575","6.30299542350953","6.26173611845873","6.24930389434774","6.33278304730346","6.6787518089455","6.51977985375461","6.37095851071508","6.28836823200741","6.26823660567023","6.33370359966157","6.4865479450184","6.59342428527416","6.5578500884867","6.74567066237859","7.09026543118761","7.2904711819568","6.73240173747724","6.74664287091485",
"Afghanistan","AFG","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.437","7.429","7.448","7.466","7.451","7.43","7.415","7.439","7.453","7.458","7.457","7.435","7.414","7.402","7.398","7.408","7.403","7.42","7.417","7.416","7.409","7.392","7.375","7.343","8.363","9.369","10.365","10.211","10.072","10.458","10.856","13.17","13.483",
"Africa Western and Central","AFW","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.36355119766518","4.40266720764662","4.49862005451507","4.50600220926019","4.47847826337988","4.41387102740758","4.38208711066041","4.38873610629125","4.57565356461336","4.65320754943315","4.57580466703923","4.3786720306878","4.2447805452675","4.14665652544335","4.1134518806872","3.95349004057405","3.90430334711465","3.91180835851106","3.93975311280784","3.91497184586398","3.89355504481815","3.9328336635629","3.6725888653334","3.89338541006936","4.21719547733154","4.15645330725449","4.23492219029004","4.21327270173537","4.21964517242882","4.47439287948427","3.96689201480753","3.02201841644145","2.85199062180637",
"Angola","AGO","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.483","14.619","15.024","15.048","14.689","14.059","13.984","14.181","14.4","14.497","14.53","14.351","14.376","14.283","14.284","14.154","14.118","14.2","14.402","14.589","14.764","14.807","14.978","15.134","15.459","15.788","16.071","16.301","16.447","16.738","15.817","14.567","14.492",
"Albania","ALB","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.328","32.085","26.856","22.217","14.964","14.651","17.696","20.236","21.155","19.374","18.3","17.615","16.689","16.018","15.634","15.289","15.644","12.541","12.191","12.756","13.266","14.806","17.665","19.857","17.247","16.146","14.447","12.628","11.584","13.004","12.677","11.716","11.712",
"Andorra","AND","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.4948587672603","11.0720157378387","11.6212527173057","11.566487890073","11.9915214621276","11.1771138869931","10.5658300547172","10.5203073737274","10.6977518455982","10.9118537483436","10.789204156658","10.7304379178481","10.7164621789584","9.42178759244599","9.2894534871646","8.52646576448638","8.28326684755926","7.94740714526088","7.0467658464901","7.01448518501021","8.13269660447125","8.49451048271607","8.49245656626081","8.50225256567465","8.56677015764002","8.24954144922672","8.53334823962049","8.25511562676315","7.75567005508173","9.12468110314727","8.80273981927574","7.87319092204889","7.83756649721041",
"United Arab Emirates","ARE","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.572","1.658","1.849","1.772","1.729","1.764","1.836","2.004","2.133","2.185","2.273","2.381","2.515","2.468","2.518","2.375","2.356","2.255","2.369","2.243","2.025","1.735","1.55","1.439","1.276","1.132","1.411","1.405","1.501","3.909","2.313","1.693","1.551",
"Argentina","ARG","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.236","6.122","8.401","10.24","16.434","15.641","12.795","11.647","13.259","14.033","17.411","20.113","13.819","11.894","10.054","8.422","7.063","6.52","7.788","6.684","6.267","6.1","6.136","6.492","6.797","7.285","7.543","8.245","9.2","10.776","7.912","6.151","5.714",
"Armenia","ARM","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.143","1.285","3.462","4.882","3.652","4.479","5.281","5.642","7.604","7.956","8.309","8.643","8.983","9.344","9.705","10.073","10.429","10.847","11.341","11.786","12.2","12.523","12.926","13.34","13.77","14.197","14.596","15.005","14.112","15.023","13.036","11.357","11.328",
"American Samoa","ASM","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.887","11.305","11.509","9.983","8.743","8.711","8.584","7.948","7.04","6.459","6.982","6.535","5.891","5.283","4.882","4.669","4.042","3.96","5.694","5.075","4.895","5.138","5.706","5.997","6.039","5.651","5.525","5.282","5.205","6.551","5.209","3.764","3.763",
"Austria","AUT","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.334","3.461","4.07","3.208","3.93","5.347","5.064","5.421","4.662","4.771","3.917","5.12","5.138","5.785","5.504","5.044","4.549","3.981","5.583","5.061","4.634","4.981","5.403","5.892","6.181","6.478","5.971","5.111","4.68","5.365","6.508","5.164","5.477",
"Azerbaijan","AZE","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.831","1.663","4.156","5.817","6.646","7.475","8.396","9.224","10.053","10.865","10.318","9.709","9.07","7.94","7.235","6.892","7.087","6.155","4.929","4.352","4.42","4.307","4.021","4.004","4.073","4.118","4.103","4.06","4.262","6.097","5.121","4.792","4.781",
"Burundi","BDI","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.043","4.006","3.971","4.001","3.937","3.949","4.02","4.079","4.016","4.015","4.039","4.058","3.997","4.05","4.006","4.047","3.09","2.156","2.127","2.111","2.085","2.067","2.048","2.024","1.816","1.662","1.495","1.325","1.15","1.086","1.191","1.027","1.04",
"Belgium","BEL","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.555","4.797","6.165","7.694","7.309","7.404","7.088","7.581","7.473","5.306","5.63","6.244","7.441","6.648","7.597","7.396","6.663","6.468","7.745","8.107","7.106","7.652","8.64","9.02","9.093","8.06","7.114","6.284","5.731","5.728","6.617","5.829","5.946",
"Benin","BEN","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.347","2.157","2.137","2.083","1.867","1.783","1.563","1.484","1.332","1.199","1.044","0.921","0.949","0.954","0.991","0.973","0.938","0.879","0.89","0.937","2.43","2.194","1.892","1.673","1.633","1.609","1.493","1.25","1.183","1.37","1.477","1.237","1.217",
"Burkina Faso","BFA","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.346","2.384","2.311","2.461","2.41","2.323","2.288","2.312","2.384","2.476","2.501","2.576","2.475","3.064","3.488","3.174","2.824","3.061","3.32","3.382","3.533","3.607","3.856","4.105","4.372","4.55","4.665","4.746","4.663","4.927","4.941","5.006","4.952",
"Bangladesh","BGD","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.232","2.3","2.383","2.461","2.542","2.623","2.781","2.941","3.099","3.251","3.548","3.852","4.156","3.762","3.343","2.654","3.141","3.643","4.158","2.994","3.07","3.131","3.192","3.161","3.127","3.087","3.307","3.456","3.606","4.667","4.622","4.04","3.875",
"Bulgaria","BGR","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.259","15.519","16.633","12.981","11.255","12.674","13.89","12.577","14.053","16.566","20.868","18.78","14.206","12.402","10.299","8.643","6.515","5.48","6.986","10.862","12.269","13.529","13.906","12.316","9.778","8.101","6.354","5.692","4.535","5.432","5.473","4.452","4.398",
"Bahrain","BHR","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.506","0.442","0.378","0.454","0.472","0.556","0.511","0.494","0.485","0.457","0.473","0.476","0.462","0.419","0.391","0.388","0.378","0.38","0.409","0.44","0.488","0.479","0.466","0.437","0.447","0.47","0.474","0.477","0.488","0.857","0.716","0.532","0.426",
"Bahamas, The","BHS","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.23","13.913","12.451","12.608","10.021","8.618","8.32","5.696","5.777","6.303","6.722","8.528","9.961","9.332","9.282","7.065","6.753","7.194","14.444","14.149","13.759","14.068","16.109","13.037","11.09","11.084","8.354","10.048","10.059","13.125","11.849","9.875","9.165",
"Bosnia and Herzegovina","BIH","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.381","16.307","17.231","18.059","18.883","19.675","20.569","21.478","22.417","23.324","24.309","25.249","26.234","27.101","28.017","28.907","26.71","21.396","23.109","25.677","26.099","26.354","26.533","25.153","25.763","22.498","18.851","17.189","13.633","14.129","12.68","10.708","8.984",
"Belarus","BLR","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.739","3.819","10.467","15.759","21.79","30.049","21.073","17.264","15.794","15.031","14.241","13.4","12.562","11.684","10.828","9.984","9.174","8.342","7.557","7.536","7.534","7.504","7.512","7.505","7.506","7.498","7.247","5.944","5.126","4.79","4.74","4.247","4.247",
